year,quarter,market,dur_stay,mode,purpose,area,Visits (000s),Spend (£m),Nights (000s),sample
2017,January-March,Belgium,1-3  nights,Air,Holiday, LONDON,7.419402003,4.188380212,16.04304266,7
2017,January-March,Belgium,1-3  nights,Air,Business, LONDON,3.478223324,1.194975175,4.801949382,7
2017,January-March,Belgium,1-3  nights,Air,Miscellaneous, LONDON,2.39358297,0.233918772,3.322558969,3
2017,January-March,Belgium,1-3  nights,Sea,Holiday, LONDON,13.05204666,4.134871006,27.86152589,14
2017,January-March,Belgium,1-3  nights,Sea,Business, LONDON,1.87992382,0.290364534,4.708966732,2
2017,January-March,Belgium,1-3  nights,Sea,VFR, LONDON,0.968388736,0,1.958216786,1
2017,January-March,Belgium,1-3  nights,Tunnel,Holiday, LONDON,42.02920866,16.15695991,93.82591045,28
2017,January-March,Belgium,1-3  nights,Tunnel,Business, LONDON,24.07234156,7.595400382,38.6610254,18
2017,January-March,Belgium,1-3  nights,Tunnel,VFR, LONDON,14.37894756,2.420676559,33.89296055,11
2017,January-March,Belgium,1-3  nights,Tunnel,Study, LONDON,1.064730048,3.779791594,2.129460096,1
2017,January-March,Belgium,1-3  nights,Tunnel,Miscellaneous, LONDON,28.90989089,6.469067737,38.45031691,24
2017,January-March,Belgium,4-7  nights,Sea,Holiday, LONDON,9.282811284,3.549843282,38.94905591,10
2017,January-March,Belgium,4-7  nights,Sea,VFR, LONDON,0.985190034,0.203686774,3.984382868,1
2017,January-March,Belgium,4-7  nights,Tunnel,Holiday, LONDON,15.60907251,6.140174195,73.21510649,10
2017,January-March,Belgium,4-7  nights,Tunnel,Business, LONDON,1.153324246,0.292988896,4.622285366,1
2017,January-March,Belgium,4-7  nights,Tunnel,VFR, LONDON,7.798967481,0.836091992,38.30084705,5
2017,January-March,Belgium,8-14 nights,Air,VFR, LONDON,0.213662997,0.537362456,2.991281986,1
2017,January-March,Belgium,15+  nights,Air,Study, LONDON,0.215158001,0.155774385,36.14654541,1
2017,January-March,Luxembourg,1-3  nights,Air,Holiday, LONDON,0.741329998,0.444616646,2.001994044,3
2017,January-March,Luxembourg,1-3  nights,Air,Business, LONDON,0.297338009,0.108528368,0.297338009,1
2017,January-March,Luxembourg,1-3  nights,Air,VFR, LONDON,1.641050979,0.407957757,4.207498997,4
2017,January-March,Luxembourg,4-7  nights,Air,Holiday, LONDON,0.928975999,2.336374521,6.502831936,1
2017,January-March,Luxembourg,4-7  nights,Air,VFR, LONDON,0.297338009,0.45046708,1.189352036,1
2017,January-March,France,1-3  nights,Air,Holiday, LONDON,80.57327524,29.48226489,196.080248,41
2017,January-March,France,1-3  nights,Air,Business, LONDON,14.55477965,9.309143379,29.17583501,17
2017,January-March,France,1-3  nights,Air,VFR, LONDON,28.81119651,5.285903559,66.56754833,20
2017,January-March,France,1-3  nights,Air,Miscellaneous, LONDON,7.64292407,3.121989561,12.63578013,10
2017,January-March,France,1-3  nights,Sea,Holiday, LONDON,12.96380338,3.369001392,32.08958316,23
2017,January-March,France,1-3  nights,Sea,VFR, LONDON,5.844503641,0.342701815,11.59720898,5
2017,January-March,France,1-3  nights,Tunnel,Holiday, LONDON,112.2231928,24.03833407,249.7797467,69
2017,January-March,France,1-3  nights,Tunnel,Business, LONDON,41.19780636,14.73284996,57.11138248,21
2017,January-March,France,1-3  nights,Tunnel,VFR, LONDON,33.10475934,4.468810521,61.21577048,20
2017,January-March,France,1-3  nights,Tunnel,Study, LONDON,3.313959956,1.02679392,4.638722897,2
2017,January-March,France,1-3  nights,Tunnel,Miscellaneous, LONDON,9.838214099,2.957267866,21.5578537,6
2017,January-March,France,4-7  nights,Air,Holiday, LONDON,36.15484348,17.19400405,155.880787,31
2017,January-March,France,4-7  nights,Air,Business, LONDON,11.43306077,10.45236008,67.76524901,5
2017,January-March,France,4-7  nights,Air,VFR, LONDON,31.91330531,8.199635923,147.7386161,22
2017,January-March,France,4-7  nights,Sea,Holiday, LONDON,8.494314432,2.436515436,35.72916591,10
2017,January-March,France,4-7  nights,Sea,Business, LONDON,1.172505021,0.003074311,1.172505021,1
2017,January-March,France,4-7  nights,Sea,VFR, LONDON,5.920259356,0.850604249,26.92929864,4
2017,January-March,France,4-7  nights,Tunnel,Holiday, LONDON,37.35689658,13.40899186,176.9915037,22
2017,January-March,France,4-7  nights,Tunnel,Business, LONDON,8.758896053,8.670630634,38.62899685,5
2017,January-March,France,4-7  nights,Tunnel,VFR, LONDON,28.16816568,8.449746396,139.6262975,18
2017,January-March,France,8-14 nights,Air,Holiday, LONDON,2.919064224,1.179677427,22.3775959,2
2017,January-March,France,8-14 nights,Air,Business, LONDON,6.223244786,1.759669155,52.16415405,2
2017,January-March,France,8-14 nights,Air,VFR, LONDON,6.283399105,4.596430182,62.18699503,3
2017,January-March,France,8-14 nights,Tunnel,Business, LONDON,2.791305006,0.736040518,8.758896053,2
2017,January-March,France,8-14 nights,Tunnel,VFR, LONDON,1.908186674,0.325248912,24.89055443,2
2017,January-March,France,15+  nights,Air,Holiday, LONDON,1.973228812,1.708451152,41.59871674,1
2017,January-March,France,15+  nights,Air,Business, LONDON,2.070220232,5.014405727,99.59885406,1
2017,January-March,France,15+  nights,Air,VFR, LONDON,1.783497691,2.247916937,73.49365234,1
2017,January-March,France,15+  nights,Sea,VFR, LONDON,2.053870648,0.617602874,33.11632681,3
2017,January-March,France,15+  nights,Tunnel,Business, LONDON,0.80210799,0.80210799,17.64637566,1
2017,January-March,France,15+  nights,Tunnel,VFR, LONDON,2.831007242,3.017825842,59.66199684,2
2017,January-March,France,15+  nights,Tunnel,Miscellaneous, LONDON,1.989197016,9.086651802,360.0446472,1
2017,January-March,Germany,1-3  nights,Air,Holiday, LONDON,76.27183643,26.60792643,182.325591,75
2017,January-March,Germany,1-3  nights,Air,Business, LONDON,40.21355766,16.11138614,61.09096497,46
2017,January-March,Germany,1-3  nights,Air,VFR, LONDON,24.79596001,6.319557767,60.39418936,26
2017,January-March,Germany,1-3  nights,Air,Miscellaneous, LONDON,5.233096078,1.063362014,7.555754095,10
2017,January-March,Germany,1-3  nights,Sea,Holiday, LONDON,3.871656537,1.975068115,10.62281275,4
2017,January-March,Germany,1-3  nights,Sea,Business, LONDON,2.810505033,0.176520542,3.736628056,3
2017,January-March,Germany,1-3  nights,Sea,VFR, LONDON,0.926123023,0.463987619,2.77836895,1
2017,January-March,Germany,1-3  nights,Tunnel,Holiday, LONDON,5.660949111,1.329992235,12.94294763,3
2017,January-March,Germany,4-7  nights,Air,Holiday, LONDON,34.36377355,14.459299,145.6786531,35
2017,January-March,Germany,4-7  nights,Air,Business, LONDON,10.57961532,12.94454926,44.24760091,15
2017,January-March,Germany,4-7  nights,Air,VFR, LONDON,30.18950009,9.740030859,137.6481022,27
2017,January-March,Germany,4-7  nights,Sea,Holiday, LONDON,2.945533514,0.933316275,9.551536798,3
2017,January-March,Germany,4-7  nights,Sea,Business, LONDON,0.926123023,0.118543744,4.630615234,1
2017,January-March,Germany,4-7  nights,Sea,VFR, LONDON,1.868314028,0.240076065,9.325501919,2
2017,January-March,Germany,4-7  nights,Tunnel,Holiday, LONDON,6.067429066,1.851925865,27.12996101,6
2017,January-March,Germany,4-7  nights,Tunnel,Business, LONDON,0.644665003,0.077359803,4.512654781,1
2017,January-March,Germany,4-7  nights,Tunnel,VFR, LONDON,3.532456994,1.879474014,17.35315299,4
2017,January-March,Germany,8-14 nights,Air,Holiday, LONDON,2.972609043,1.666425876,24.8656702,4
2017,January-March,Germany,8-14 nights,Air,VFR, LONDON,5.376141489,1.249767102,61.37187958,3
2017,January-March,Germany,8-14 nights,Sea,Business, LONDON,0.926123023,0,7.408984184,1
2017,January-March,Germany,8-14 nights,Sea,VFR, LONDON,0.926123023,0.064828612,9.261230469,1
2017,January-March,Germany,15+  nights,Air,Holiday, LONDON,0.883182764,0.222648308,28.01418877,1
2017,January-March,Germany,15+  nights,Air,Business, LONDON,0.982194304,0.992597759,19.52971077,1
2017,January-March,Germany,15+  nights,Air,VFR, LONDON,1.477455884,0.638081253,33.38832045,3
2017,January-March,Germany,15+  nights,Air,Miscellaneous, LONDON,0.651111603,2.51512146,94.39415741,1
2017,January-March,Germany,15+  nights,Tunnel,VFR, LONDON,0.867462993,0.075014748,0.867462993,1
2017,January-March,Italy,1-3  nights,Air,Holiday, LONDON,70.03929469,21.52395919,170.4997465,44
2017,January-March,Italy,1-3  nights,Air,Business, LONDON,22.90255713,9.015788093,35.92438233,30
2017,January-March,Italy,1-3  nights,Air,VFR, LONDON,19.12659055,4.084761111,47.23083758,17
2017,January-March,Italy,1-3  nights,Air,Miscellaneous, LONDON,2.601092756,0.613370459,5.603655219,3
2017,January-March,Italy,1-3  nights,Sea,Business, LONDON,0.926123023,0.030581081,0.926123023,1
2017,January-March,Italy,4-7  nights,Air,Holiday, LONDON,67.59726891,32.51202292,330.4487011,47
2017,January-March,Italy,4-7  nights,Air,Business, LONDON,8.366035342,5.147188976,43.89772928,8
2017,January-March,Italy,4-7  nights,Air,VFR, LONDON,30.79020447,11.74938125,139.1382835,21
2017,January-March,Italy,8-14 nights,Air,Holiday, LONDON,6.508024573,2.32998018,56.7577014,4
2017,January-March,Italy,8-14 nights,Air,VFR, LONDON,2.209502459,2.03949973,18.78696251,2
2017,January-March,Italy,8-14 nights,Air,Study, LONDON,1.068245888,1.054260731,8.598128319,1
2017,January-March,Italy,15+  nights,Air,Holiday, LONDON,3.232891738,2.358333617,43.27217293,4
2017,January-March,Italy,15+  nights,Air,VFR, LONDON,6.984265506,3.149532989,221.8317513,5
2017,January-March,Italy,15+  nights,Air,Study, LONDON,1.068245888,1.048149109,17.19625664,1
2017,January-March,Netherlands,1-3  nights,Air,Holiday, LONDON,40.03910094,12.24119362,93.28698057,27
2017,January-March,Netherlands,1-3  nights,Air,Business, LONDON,45.65669295,19.62061474,64.62506735,35
2017,January-March,Netherlands,1-3  nights,Air,VFR, LONDON,21.33093449,4.864708647,43.6201719,16
2017,January-March,Netherlands,1-3  nights,Air,Miscellaneous, LONDON,3.514674783,0.955846358,5.412597775,4
2017,January-March,Netherlands,1-3  nights,Sea,Holiday, LONDON,8.806094408,1.47663343,12.21166289,11
2017,January-March,Netherlands,1-3  nights,Sea,Business, LONDON,1.572852731,0.202826105,2.341608346,2
2017,January-March,Netherlands,1-3  nights,Sea,VFR, LONDON,5.059722066,0.421861984,8.085057139,5
2017,January-March,Netherlands,1-3  nights,Sea,Miscellaneous, LONDON,1.008445024,0.079248436,1.008445024,1
2017,January-March,Netherlands,1-3  nights,Tunnel,Holiday, LONDON,4.554517627,1.289095581,10.53454244,4
2017,January-March,Netherlands,1-3  nights,Tunnel,Business, LONDON,6.551264644,2.09709397,11.75856006,4
2017,January-March,Netherlands,1-3  nights,Tunnel,VFR, LONDON,3.144766927,1.278847009,9.4343009,3
2017,January-March,Netherlands,1-3  nights,Tunnel,Miscellaneous, LONDON,1.159607053,0.662135601,3.478821039,1
2017,January-March,Netherlands,4-7  nights,Air,Holiday, LONDON,8.14425531,4.328058459,40.52335489,8
2017,January-March,Netherlands,4-7  nights,Air,Business, LONDON,11.37133521,3.991179192,43.99732149,7
2017,January-March,Netherlands,4-7  nights,Air,VFR, LONDON,7.317742378,1.183963291,27.66419625,5
2017,January-March,Netherlands,4-7  nights,Air,Miscellaneous, LONDON,4.465523899,1.519898261,16.79244065,2
2017,January-March,Netherlands,4-7  nights,Sea,Holiday, LONDON,4.172072053,1.257619143,17.82785225,5
2017,January-March,Netherlands,4-7  nights,Sea,VFR, LONDON,1.008445024,0.060506701,7.059114933,1
2017,January-March,Netherlands,4-7  nights,Tunnel,Holiday, LONDON,6.181327939,4.347619295,30.94963694,4
2017,January-March,Netherlands,4-7  nights,Tunnel,VFR, LONDON,2.348981977,0.406606495,12.68967175,3
2017,January-March,Netherlands,8-14 nights,Air,Holiday, LONDON,0.632188439,0.94929117,6.178928852,1
2017,January-March,Netherlands,8-14 nights,Air,Business, LONDON,3.191486359,9.596512794,44.80233765,1
2017,January-March,Netherlands,8-14 nights,Air,VFR, LONDON,2.850281358,0.248082757,36.01172972,3
2017,January-March,Netherlands,8-14 nights,Sea,Holiday, LONDON,1.052294254,0.202838391,13.85619736,1
2017,January-March,Netherlands,15+  nights,Sea,VFR, LONDON,1.550760031,0.3512595,20.15987968,2
2017,January-March,Netherlands,15+  nights,Tunnel,VFR, LONDON,0.702109993,0.175527498,11.93587017,1
2017,January-March,Denmark,1-3  nights,Air,Holiday, LONDON,57.30007637,23.92220329,149.0617225,32
2017,January-March,Denmark,1-3  nights,Air,Business, LONDON,11.33021212,5.14109531,20.97909999,11
2017,January-March,Denmark,1-3  nights,Air,VFR, LONDON,13.06179768,3.404467776,32.47217369,7
2017,January-March,Denmark,1-3  nights,Air,Miscellaneous, LONDON,5.619994909,1.62043621,12.41746882,4
2017,January-March,Denmark,4-7  nights,Air,Holiday, LONDON,34.74079907,16.21655484,154.8690078,21
2017,January-March,Denmark,4-7  nights,Air,Business, LONDON,4.849047542,3.207157731,22.10901451,4
2017,January-March,Denmark,4-7  nights,Air,VFR, LONDON,12.82520789,5.460629374,51.01686263,8
2017,January-March,Denmark,15+  nights,Air,Study, LONDON,1.114573002,2.24586463,39.01005554,1
2017,January-March,Greece,1-3  nights,Air,Holiday, LONDON,3.336268246,1.77921477,9.29760778,3
2017,January-March,Greece,1-3  nights,Air,Business, LONDON,5.249929935,2.503334746,13.14092019,6
2017,January-March,Greece,1-3  nights,Air,VFR, LONDON,6.906069458,2.310377624,17.72342223,8
2017,January-March,Greece,1-3  nights,Air,Miscellaneous, LONDON,3.357241005,0.269164641,4.189000994,4
2017,January-March,Greece,4-7  nights,Air,Holiday, LONDON,3.375801444,1.892291129,14.27049828,4
2017,January-March,Greece,4-7  nights,Air,Business, LONDON,0.973258972,0.379571021,3.893035889,1
2017,January-March,Greece,4-7  nights,Air,VFR, LONDON,3.378946781,0.774117888,15.78555441,4
2017,January-March,Greece,4-7  nights,Air,Miscellaneous, LONDON,0.973258972,0.589794934,6.812812805,1
2017,January-March,Greece,8-14 nights,Air,Holiday, LONDON,1.037288785,0.886348963,10.18027782,1
2017,January-March,Greece,8-14 nights,Air,Business, LONDON,2.164214998,1.674518704,17.15532756,3
2017,January-March,Greece,8-14 nights,Air,VFR, LONDON,10.3057543,8.978509068,131.680398,5
2017,January-March,Greece,15+  nights,Air,VFR, LONDON,1.343513131,0.626767486,21.36737299,2
2017,January-March,Spain,1-3  nights,Air,Holiday, LONDON,86.89359459,29.29585222,227.6346295,56
2017,January-March,Spain,1-3  nights,Air,Business, LONDON,29.97533292,14.59953602,50.93934858,28
2017,January-March,Spain,1-3  nights,Air,VFR, LONDON,30.43646187,8.50933523,75.86101806,20
2017,January-March,Spain,1-3  nights,Air,Miscellaneous, LONDON,2.487329066,0.168132754,2.201500744,6
2017,January-March,Spain,1-3  nights,Sea,Business, LONDON,2.387337923,0.119366899,4.774675965,2
2017,January-March,Spain,1-3  nights,Tunnel,Business, LONDON,1.250545025,0,1.250545025,1
2017,January-March,Spain,4-7  nights,Air,Holiday, LONDON,94.18111861,35.12754214,418.0708418,58
2017,January-March,Spain,4-7  nights,Air,Business, LONDON,13.70863104,7.050940998,67.01542306,9
2017,January-March,Spain,4-7  nights,Air,VFR, LONDON,25.21670365,8.424966149,117.7963012,19
2017,January-March,Spain,4-7  nights,Air,Miscellaneous, LONDON,2.115242839,4.51440762,9.36086154,2
2017,January-March,Spain,4-7  nights,Tunnel,Holiday, LONDON,2.376730919,0.433350295,20.42893982,1
2017,January-March,Spain,4-7  nights,Tunnel,Business, LONDON,1.118445039,0.16776675,4.473780155,1
2017,January-March,Spain,8-14 nights,Air,Holiday, LONDON,3.452480257,1.151640728,32.84067059,3
